before: 7,208 words in /home/charl/research/moriarty-pages-2026-09-19/prose-before
after : 7,407 words in /home/charl/research/moriarty-pages-2026-09-19/prose-after  (+3%)

habit                                before    after    change   per
repeated sentence openers              53.2     52.5       -1%     1,000 sentences
fronted participles                    16.2     18.3      +13%     1,000 sentences
fronted prepositional phrases          13.9     13.7       -1%     1,000 sentences
expletive openers (it/there is)         4.6      4.6       -1%     1,000 sentences
em dashes                               2.8      2.7       -3%     10,000 words
semicolons                             93.0     97.2       +5%     10,000 words
-ly adverbs                            74.9     72.9       -3%     10,000 words
paragraph-final aphorisms               5.8      4.8      -17%     100 paragraphs
polysyndeton (3+ ands)                 37.0     38.8       +5%     1,000 sentences
very short sentences                   55.6     54.8       -1%     1,000 sentences
sentence length stdev                   7.9      8.0       +1%     words
mean sentence length                   17.0     17.2       +1%     words

No habit moved by more than 25%.
