legacy_id,construction_category,application,spec_file,verdict_file,verdict,construction_size,obligations_total,obligations_covered,obligations_residue
D01,01-spot-exchange,Curve,expansion/01-spot-exchange/specs/curve.json,expansion/01-spot-exchange/verdicts.json,PARTIAL,8,22,8,14
D01,01-spot-exchange,Fluid,expansion/01-spot-exchange/specs/fluid.json,expansion/01-spot-exchange/verdicts.json,PARTIAL,11,22,11,11
D01,01-spot-exchange,PancakeSwap,expansion/01-spot-exchange/specs/pancakeswap.json,expansion/01-spot-exchange/verdicts.json,PARTIAL,8,22,9,13
D01,01-spot-exchange,Raydium,expansion/01-spot-exchange/specs/raydium.json,expansion/01-spot-exchange/verdicts.json,PARTIAL,8,22,8,14
D01,01-spot-exchange,Uniswap,expansion/01-spot-exchange/specs/uniswap.json,expansion/01-spot-exchange/verdicts.json,INADMISSIBLE,8,22,10,12
D02,02-lending,Aave V3,expansion/02-lending/specs/aave-v3.json,expansion/02-lending/verdicts.json,PARTIAL,13,23,12,11
D02,02-lending,JustLend V1,expansion/02-lending/specs/justlend-v1.json,expansion/02-lending/verdicts.json,PARTIAL,10,18,10,8
D02,02-lending,Maple,expansion/02-lending/specs/maple.json,expansion/02-lending/verdicts.json,INADMISSIBLE,13,23,10,13
D02,02-lending,Morpho,expansion/02-lending/specs/morpho.json,expansion/02-lending/verdicts.json,PARTIAL,12,24,11,13
D02,02-lending,SparkLend,expansion/02-lending/specs/sparklend.json,expansion/02-lending/verdicts.json,PARTIAL,11,24,8,16
D03,03-cdp-stablecoins,Ethena (USDe / sUSDe),expansion/03-cdp-stablecoins/specs/ethena.json,expansion/03-cdp-stablecoins/verdicts.json,PARTIAL,15,22,13,9
D03,03-cdp-stablecoins,Liquity (V1 + V2),expansion/03-cdp-stablecoins/specs/liquity.json,expansion/03-cdp-stablecoins/verdicts.json,PARTIAL,10,22,9,13
D03,03-cdp-stablecoins,Lista CDP,expansion/03-cdp-stablecoins/specs/lista-cdp.json,expansion/03-cdp-stablecoins/verdicts.json,PARTIAL,11,20,12,8
D03,03-cdp-stablecoins,"Sky (Sky Lending, ex-MakerDAO)",expansion/03-cdp-stablecoins/specs/sky.json,expansion/03-cdp-stablecoins/verdicts.json,INADMISSIBLE,16,24,15,9
D03,03-cdp-stablecoins,USDD,expansion/03-cdp-stablecoins/specs/usdd.json,expansion/03-cdp-stablecoins/verdicts.json,PARTIAL,9,17,9,8
