name	archived	fork	default_branch	language	created_at	updated_at	pushed_at	size_kb	open_issues_count	html_url	description
.github	false	false	main		2024-05-11T13:11:39Z	2025-02-21T20:19:48Z	2025-02-21T20:19:45Z	95	0	https://github.com/marlowe-lang/.github	
actus-core	false	false	main	Haskell	2023-02-16T08:25:33Z	2026-06-28T10:29:54Z	2025-12-25T21:07:52Z	156	1	https://github.com/marlowe-lang/actus-core	Implementation of the ACTUS taxonomy
admin	false	false	main		2024-10-09T07:48:02Z	2024-10-15T18:28:31Z	2024-10-15T18:28:27Z	22	2	https://github.com/marlowe-lang/admin	Meeting notes and planning
awesome-marlowe	false	false	main	Jupyter Notebook	2023-11-24T02:50:30Z	2025-02-20T20:31:22Z	2024-01-24T12:38:13Z	19879	0	https://github.com/marlowe-lang/awesome-marlowe	A collection of Marlowe resources, tutorials and examples 
marlowe	false	false	master	Isabelle	2017-08-24T14:58:59Z	2026-07-27T01:29:01Z	2026-05-28T07:31:31Z	89440	31	https://github.com/marlowe-lang/marlowe	Prototype implementation of domain-specific language for the design of smart-contracts over cryptocurrencies
marlowe-actus-labs	false	false	main	PureScript	2022-11-07T13:55:24Z	2025-02-20T20:43:23Z	2023-09-19T09:37:23Z	6188	0	https://github.com/marlowe-lang/marlowe-actus-labs	Deploy ACTUS contracts on Cardano from your web browser
marlowe-agda	false	false	main	Nix	2022-11-27T23:11:53Z	2025-03-14T17:03:14Z	2025-02-19T08:48:49Z	382	1	https://github.com/marlowe-lang/marlowe-agda	Marlowe language specification
marlowe-cardano	false	false	main	Haskell	2021-10-18T13:47:51Z	2026-08-23T07:00:15Z	2025-12-28T19:51:15Z	166693	17	https://github.com/marlowe-lang/marlowe-cardano	Marlowe smart contract language Cardano implementation
marlowe-cardano-minimal	true	false	main	Haskell	2023-03-27T12:04:04Z	2025-02-20T21:03:12Z	2023-09-19T09:28:16Z	16422	0	https://github.com/marlowe-lang/marlowe-cardano-minimal	Experimental version of Marlowe validators with minimal dependencies on other Haskell pacakges
marlowe-deploy	false	true	master	Nix	2024-05-06T14:19:19Z	2025-03-11T17:17:23Z	2025-12-01T20:33:04Z	400	0	https://github.com/marlowe-lang/marlowe-deploy	Deployments for the marlowe project
marlowe-doc	false	false	main	MDX	2023-01-11T18:39:26Z	2025-03-11T12:19:46Z	2025-03-11T17:12:51Z	75486	1	https://github.com/marlowe-lang/marlowe-doc	Documentation of the Marlowe language and ecosystem
marlowe-hydra-poc	false	false	main	Nix	2022-07-05T07:17:29Z	2025-02-20T20:45:37Z	2023-09-19T09:28:13Z	92	2	https://github.com/marlowe-lang/marlowe-hydra-poc	Run Marlowe on a Hydra head.
marlowe-lambda	true	false	main	JavaScript	2022-10-31T11:58:55Z	2025-02-20T20:44:31Z	2023-02-07T15:27:54Z	283	0	https://github.com/marlowe-lang/marlowe-lambda	A Marlowe Runtime client for AWS Lambda. This package has been deprecated and is no longer maintained. Please use https://github.com/input-output-hk/marlowe-cardano/tree/main/marlowe-runtime/web-server-app instead.
marlowe-oracle-protocol	false	false	main	CSS	2025-04-24T19:13:18Z	2026-08-31T18:00:46Z	2026-08-31T17:59:20Z	681	0	https://github.com/marlowe-lang/marlowe-oracle-protocol	
marlowe-order-book-swap	false	false	main	TypeScript	2023-10-20T14:08:53Z	2025-02-20T20:36:59Z	2024-01-22T14:01:41Z	518	1	https://github.com/marlowe-lang/marlowe-order-book-swap	
marlowe-payouts	false	false	main	SCSS	2023-08-15T20:30:41Z	2026-08-23T07:15:24Z	2024-01-22T07:08:10Z	1033	5	https://github.com/marlowe-lang/marlowe-payouts	Generic Payouts Withdrawal Prototype Over for Marlowe Technology
marlowe-playground	false	false	main	PureScript	2022-08-05T07:23:57Z	2025-02-20T20:16:49Z	2025-03-17T00:59:42Z	161165	19	https://github.com/marlowe-lang/marlowe-playground	
marlowe-plutus	false	false	main	Haskell	2023-09-14T12:07:47Z	2025-02-20T20:15:09Z	2026-08-31T18:28:52Z	2243	8	https://github.com/marlowe-lang/marlowe-plutus	Plutus validators for the Marlowe financial contract DSL
marlowe-runner	false	false	main	PureScript	2023-05-23T12:43:13Z	2026-07-27T07:11:19Z	2026-04-30T21:11:56Z	38510	1	https://github.com/marlowe-lang/marlowe-runner	A simple app which allows you to deploy and progress through Marlowe contract on Cardano.
marlowe-runtime-ng	false	false	main		2026-01-03T09:42:04Z	2026-01-03T09:42:08Z	2026-01-03T09:42:05Z	1	0	https://github.com/marlowe-lang/marlowe-runtime-ng	Lightweight Marlowe Runtime  
marlowe-scan	false	false	master	Haskell	2023-01-29T20:45:08Z	2025-02-20T20:25:21Z	2024-05-16T16:43:58Z	171	0	https://github.com/marlowe-lang/marlowe-scan	A web tool to view on-chain Marlowe contracts in terms of the Marlowe language
marlowe-starter-kit	false	false	main	Jupyter Notebook	2023-02-20T20:09:27Z	2025-11-18T18:14:29Z	2024-05-11T12:15:07Z	6216	1	https://github.com/marlowe-lang/marlowe-starter-kit	This repository contains lessons for using Marlowe via REST and at the command line. It is meant to be used with demeter.run or with a Docker deployment of Marlowe Runtime.
marlowe-token-plans	false	false	main	SCSS	2023-08-25T10:35:00Z	2025-02-20T20:40:55Z	2026-04-30T12:56:28Z	1092	4	https://github.com/marlowe-lang/marlowe-token-plans	Token Plans Prototype Over Marlowe Technology
marlowe-ts-dapp-swap	true	false	main	TypeScript	2023-04-04T12:01:10Z	2025-02-20T20:38:15Z	2023-09-19T09:28:12Z	1191	2	https://github.com/marlowe-lang/marlowe-ts-dapp-swap	Experiments on Marlowe Smart Contracts
marlowe-ts-sdk	false	false	main	TypeScript	2023-02-15T09:23:45Z	2025-11-27T02:08:28Z	2025-03-26T12:00:20Z	32048	26	https://github.com/marlowe-lang/marlowe-ts-sdk	Marlowe TypeScript SDK 
marlowe-website	false	false	main	MDX	2024-07-23T09:33:12Z	2026-04-28T08:03:00Z	2026-04-28T08:02:56Z	1396	0	https://github.com/marlowe-lang/marlowe-website	marlowe-lang.org website
MIPs	false	false	main		2022-03-08T13:35:31Z	2025-02-20T20:53:36Z	2024-02-24T12:18:34Z	86	2	https://github.com/marlowe-lang/MIPs	Marlowe Improvement Proposals
purescript-bridge-json-helpers	false	false	main	Nix	2021-10-18T20:42:07Z	2025-02-20T20:56:02Z	2023-09-19T09:28:09Z	44	1	https://github.com/marlowe-lang/purescript-bridge-json-helpers	Helpers for argonaut encoders and decoders generated by purescript-bridge
purescript-cardano-multiplatform-lib	false	false	main	PureScript	2023-09-07T12:29:25Z	2025-02-20T20:57:32Z	2023-12-11T10:06:35Z	57	1	https://github.com/marlowe-lang/purescript-cardano-multiplatform-lib	
purescript-cardano-wallet-client	false	false	main	PureScript	2023-09-08T11:09:11Z	2025-02-20T20:58:36Z	2023-11-24T11:48:39Z	349	0	https://github.com/marlowe-lang/purescript-cardano-wallet-client	
purescript-datetime-iso	false	true	master	Nix	2021-11-01T16:30:50Z	2025-02-20T20:51:16Z	2022-08-22T13:53:56Z	46	0	https://github.com/marlowe-lang/purescript-datetime-iso	📆 🕒 PureScript library for serializing datetimes in simplified extended ISO format.
purescript-markdown	false	true	master	PureScript	2021-05-12T16:42:46Z	2025-02-20T20:52:27Z	2022-08-22T14:15:32Z	264	0	https://github.com/marlowe-lang/purescript-markdown	A Purescript library for parsing SlamData's dialect of Markdown.
purescript-marlowe	false	false	main	PureScript	2022-08-12T17:38:14Z	2025-12-18T20:42:02Z	2025-12-18T20:42:12Z	191	3	https://github.com/marlowe-lang/purescript-marlowe	PureScript implementation of the Marlowe smart contract lanugage
purescript-marlowe-runtime-client	false	false	main	PureScript	2023-09-07T15:56:16Z	2025-02-20T20:59:49Z	2025-12-18T20:44:59Z	258	1	https://github.com/marlowe-lang/purescript-marlowe-runtime-client	
purescript-web-common	false	false	main	PureScript	2021-10-22T20:42:48Z	2025-02-20T21:01:00Z	2023-09-19T09:37:26Z	330	0	https://github.com/marlowe-lang/purescript-web-common	Shared library for web development.
real-world-marlowe	true	false	main	Jupyter Notebook	2023-02-15T02:55:29Z	2025-02-20T20:34:23Z	2024-01-24T12:35:39Z	23895	0	https://github.com/marlowe-lang/real-world-marlowe	Example Marlowe Contracts
