ZKIR K semantics, milestone M3 claims rerun after M2 (inputGate, unconstrained, witnessSpace): kprove receipts on the Haskell backend
Date: 2026-09-06 (suffix b)   Branch: zkir-k-iter3 (uncommitted iteration-3 work)
K: v7.1.337 (kore-exec/booster, Z3)   Host: 6 cores, WSL2
# definition /home/charl/Moriarty/.worktrees/zkir-k-iter3/experiments/zkir-k/semantics/zkir-symbolic-kompiled
# kprove logs /tmp/zkir-k-claims-aciofxks
# claim                        result                                                   seconds
add                            proved                                                       11.0
mul                            proved                                                       11.1
neg                            proved                                                       11.8
copy                           proved                                                       10.2
cond_select-1                  proved                                                        8.7
cond_select-0                  proved                                                        8.7
constrain_to_boolean-ok        proved                                                        8.3
constrain_to_boolean-fail      proved                                                        8.4
assert-ok                      proved                                                        8.4
assert-fail                    proved                                                        8.4
transient_hash                 proved                                                        9.5
spec_compiled_observable       proved                                                        8.9
12/12 claims proved
