ZKIR K semantics: kprove claims (experiments/zkir-k/claims) on the Haskell backend definition zkir-symbolic-kompiled
Date: 2026-09-06   Stamp: 2026-09-06d   Branch: zkir-k-iter3 (05463f1)
K: v7.1.337   Host: 6 cores, Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43
# definition /home/charl/Moriarty/.worktrees/zkir-k-iter3/experiments/zkir-k/semantics/zkir-symbolic-kompiled
# kprove logs /home/charl/Moriarty/.worktrees/zkir-k-iter3/evidence/zkir-k-claims-2026-09-06d-logs (NAME.log and NAME.vacuity.log per claim)
# proved = kprove exit 0 and a line that is exactly #Top; vacuity = the same claim with `ensures false` must not prove
# claim                        result                                                   seconds  vacuity probe
add                            proved                                                       10.0  probe refuted as required (9.1s)
mul                            proved                                                       11.7  probe refuted as required (10.2s)
neg                            proved                                                       10.8  probe refuted as required (11.4s)
copy                           proved                                                       11.3  probe refuted as required (10.0s)
cond_select-1                  proved                                                       11.2  probe refuted as required (9.9s)
cond_select-0                  proved                                                       11.0  probe refuted as required (11.0s)
constrain_to_boolean-ok        proved                                                       11.1  probe refuted as required (10.7s)
constrain_to_boolean-fail      proved                                                       10.4  probe refuted as required (10.9s)
assert-ok                      proved                                                       11.2  probe refuted as required (10.6s)
assert-fail                    proved                                                       10.7  probe refuted as required (11.3s)
assert-non-boolean             proved                                                       10.2  probe refuted as required (9.5s)
transient_hash                 proved                                                       11.2  probe refuted as required (9.5s)
commitment                     proved                                                        9.9  probe refuted as required (9.4s)
spec_compiled_observable       proved                                                       10.3  probe refuted as required (8.5s)
14/14 claims proved
